entity,value,synonyms
Pais,BRA,Brazil:Brasil
Pais,ABW,Aruba
Pais,AFG,Afghanistan
Pais,AGO,Angola
Pais,AIA,Anguilla
Pais,ALA,Åland Islands
Pais,ALB,Albania
Pais,AND,Andorra
Pais,ARE,United Arab Emirates
Pais,ARG,Argentina
Pais,ARM,Armenia
Pais,ASM,American Samoa
Pais,ATA,Antarctica
Pais,ATF,French Southern Territories
Pais,ATG,Antigua and Barbuda
Pais,AUS,Australia
Pais,AUT,Austria
Pais,AZE,Azerbaijan
Pais,BDI,Burundi
Pais,BEL,Belgium
Pais,BEN,Benin
Pais,BES,Bonaire
Pais,BFA,Burkina Faso
Pais,BGD,Bangladesh
Pais,BGR,Bulgaria
Pais,BHR,Bahrain
Pais,BHS,Bahamas
Pais,BIH,Bosnia and Herzegovina
Pais,BLM,Saint Barthélemy
Pais,BLR,Belarus
Pais,BLZ,Belize
Pais,BMU,Bermuda
Pais,BOL,Bolivia (Plurinational State of)
Pais,BRB,Barbados
Pais,BRN,Brunei Darussalam
Pais,BTN,Bhutan
Pais,BVT,Bouvet Island
Pais,BWA,Botswana
Pais,CAF,Central African Republic
Pais,CAN,Canada
Pais,CCK,Cocos (Keeling) Islands
Pais,CHE,Switzerland
Pais,CHL,Chile
Pais,CHN,China
Pais,CIV,Côte d'Ivoire
Pais,CMR,Cameroon
Pais,COD,Congo
Pais,COG,Congo
Pais,COK,Cook Islands
Pais,COL,Colombia
Pais,COM,Comoros
Pais,CPV,Cabo Verde
Pais,CRI,Costa Rica
Pais,CUB,Cuba
Pais,CUW,Curaçao
Pais,CXR,Christmas Island
Pais,CYM,Cayman Islands
Pais,CYP,Cyprus
Pais,CZE,Czechia
Pais,DEU,Germany
Pais,DJI,Djibouti
Pais,DMA,Dominica
Pais,DNK,Denmark
Pais,DOM,Dominican Republic
Pais,DZA,Algeria
Pais,ECU,Ecuador
Pais,EGY,Egypt
Pais,ERI,Eritrea
Pais,ESH,Western Sahara
Pais,ESP,Spain
Pais,EST,Estonia
Pais,ETH,Ethiopia
Pais,FIN,Finland
Pais,FJI,Fiji
Pais,FLK,Falkland Islands (Malvinas)
Pais,FRA,France
Pais,FRO,Faroe Islands
Pais,FSM,Micronesia (Federated States of)
Pais,GAB,Gabon
Pais,GBR,United Kingdom of Great Britain and Northern Ireland
Pais,GEO,Georgia
Pais,GGY,Guernsey
Pais,GHA,Ghana
Pais,GIB,Gibraltar
Pais,GIN,Guinea
Pais,GLP,Guadeloupe
Pais,GMB,Gambia
Pais,GNB,Guinea-Bissau
Pais,GNQ,Equatorial Guinea
Pais,GRC,Greece
Pais,GRD,Grenada
Pais,GRL,Greenland
Pais,GTM,Guatemala
Pais,GUF,French Guiana
Pais,GUM,Guam
Pais,GUY,Guyana
Pais,HKG,Hong Kong
Pais,HMD,Heard Island and McDonald Islands
Pais,HND,Honduras
Pais,HRV,Croatia
Pais,HTI,Haiti
Pais,HUN,Hungary
Pais,IDN,Indonesia
Pais,IMN,Isle of Man
Pais,IND,India
Pais,IOT,British Indian Ocean Territory
Pais,IRL,Ireland
Pais,IRN,Iran (Islamic Republic of)
Pais,IRQ,Iraq
Pais,ISL,Iceland
Pais,ISR,Israel
Pais,ITA,Italy
Pais,JAM,Jamaica
Pais,JEY,Jersey
Pais,JOR,Jordan
Pais,JPN,Japan
Pais,KAZ,Kazakhstan
Pais,KEN,Kenya
Pais,KGZ,Kyrgyzstan
Pais,KHM,Cambodia
Pais,KIR,Kiribati
Pais,KNA,Saint Kitts and Nevis
Pais,KOR,Korea
Pais,KWT,Kuwait
Pais,LAO,Lao People's Democratic Republic
